DATASET_EN,NAME_EN,ADDRESS_EN,LATITUDE,LONGITUDE
Restaurant licences,Jasmine Cuisine,"SHOP 203-205, 2/F, HOMANTIN PLAZA, HOMANTIN, KOWLOON CITY, KOWLOON",22.3162364,114.1818117
Restaurant licences,Sweet 19,"G/F, 19 HO MAN TIN STREET, KOWLOON CITY, KOWLOON",22.3159337,114.1752601
Restaurant licences,DOI MUOI,"G/F, SHUNG YAN BLDG., 20 SUNG KIT STREET, HUNG HOM, KOWLOON CITY, KOWLOON",22.3118261,114.1885342
Restaurant licences,HUNG FAT CONGEE & NOODLE,"SHOP NO. 9-10, G/F., LAI YIU ESTATE SHOPPING BLOCK, KWAI CHUNG, NEW TERRITORIES",22.353854,114.131169
Restaurant licences,TOKYO SHOKUDO,"SHOP 610, 6/F, HOPEWELL MALL, NO. 15 KENNEDY ROAD, WAN CHAI, HONG KONG",22.274832865605752,114.17089892595062
Restaurant licences,CHOI HING,"SHOP G02A, G/F, COMMERCIAL ACCOMMODATION, SAVANNAH, 3 CHI SHIN STREET, TSEUNG KWAN O, SAI KUNG, NEW TERRITORIES",22.30541843485147,114.26400903648353
Restaurant licences,AROI THAI,"SHOP NOS. 304-307, 3/F, SAU MAU PING SHOPPING CENTRE, SAU MAU PING ESTATE, KWUN TONG, KOWLOON",22.3196173418363,114.23207598529409
Restaurant licences,JIN HE CHIU CHOW,"G/F., WAI WAH COMMERCIAL BUILDING, 109-111 PORTLAND STREET, YAU MA TEI, KOWLOON",22.314869099681218,114.16940697950871
Restaurant licences,FRITES BELGIUM ON TAP,"G/F (PORTION A AND PORTION B), CROWNE PLAZA HONG KONG CAUSEWAY BAY, 8 LEIGHTON ROAD, CAUSEWAY BAY, HONG KONG",22.277006947992177,114.18266181196344
Restaurant licences,KINDLY TAILS,"SHOP NO. B1, G/F., FORTUNA BUILDING, NOS. 24-38 KAM PING STREET, NORTH POINT, HONG KONG",22.2900352,114.1973083
Restaurant licences,The Fly Place,"SHOP NOS. 2024-27, LEVEL 2, MCP CENTRAL, TKOTL 27, TSEUNG KWAN O, SAI KUNG, NEW TERRITORIES",22.32314563264154,114.25780486468659
Restaurant licences,JOLLIBEE,"SHOP NO. G4-6, G/F, FOO YU BUILDING, 275 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",22.373155854285997,114.11631647527136
Restaurant licences,THE SHACK,"UNIT NOS. G16-17 ON GROUND LEVEL OF HOUSE NOS. 16-17 AT NOS. 42A-42B MA WAN MAIN STREET, MA WAN PARK PHASE II, MA WAN, ON LOT NO. 684 IN MA WAN, TSUEN WAN, NEW TERRITORIES",22.3483834489199,114.05664471872836
Restaurant licences,CHEESE OMAKASE JEREMY EVRARD,"G/F, 28ABERDEENST., NO. 28 ABERDEEN STREET, CENTRAL, HONG KONG",22.283013159882326,114.15217071054562
Restaurant licences,"Champion Circle, Inner Circle","PORTION A OF 3/F, GRANDSTAND 1, SHA TIN RACECOURSE, SHA TIN, NEW TERRITORIES",22.40230397085872,114.20648791261945
Restaurant licences,"MEET FRESH, SPICY NOODLE","SHOP NO. 148, 1/F., CITYPLAZA, 18 TAIKOO SHING ROAD, QUARRY BAY, HONG KONG",22.28593608606452,114.21684082722932
Restaurant licences,AKA JAPANESE RESTAURANT,"SHOP A, G/F, 66-72 PATERSON STREET, FASHION WALK, CAUSEWAY BAY, HONG KONG",22.282385190978967,114.18493842004453
Restaurant licences,CHILL RESTAURANT,"SHOP G02, G/F, CHING TIN SHOPPING CENTRE, CHING TIN ESTATE, TUEN MUN, NEW TERRITORIES",22.411961296823815,113.97118507071569
Restaurant licences,Asian Lab,"SHOP NO. 22-23, G/F, SITE 12, WHAMPOA GARDEN, HUNG HOM, KOWLOON",22.305429170100584,114.19107248443335
Restaurant licences,SAPA PHO,"G/F, 190 YU CHAU STREET, SHAM SHUI PO, KOWLOON",22.329242780180802,114.1626489748379
Restaurant licences,Little Cove Espresso,"SHOP 202, LEVEL 2, ONE PACIFIC PLACE, 88 QUEENSWAY, ADMIRALTY, HONG KONG",22.277744524538335,114.16540265956102
Restaurant licences,SAIGON EXPRESS,"SHOP 15 (FRONT PORTION), G/F, SAI KUNG BUILDING, NO. 42-56 FUK MAN ROAD, SAI KUNG, NEW TERRITORIES",22.382365476818332,114.27264046380331
Restaurant licences,BUNNY CHURROS,"SHOP 17, G/F, GO PARK, 9 HOI YING ROAD, TAI PO, NEW TERRITORIES",22.429703236147894,114.26600207281992
Restaurant licences,MANNA,"SHOP, G/F, 105 WAI YIP STREET, KWUN TONG, KOWLOON",22.31576246139978,114.21555677573826
Restaurant licences,Sankinn Taiwanese Hot Pot,"SHOP NO. A102, LEVEL 1, NEW TOWN PLAZA PHASE III, SHA TIN, NEW TERRITORIES",22.380350428109733,114.18727575069619
Restaurant licences,CREO BY BRENTWOOD,"SHOP OF G/F., GF TOWER, NO. 81 LOCKHART ROAD, HONG KONG",22.27829645354773,114.17134451503065
Restaurant licences,MORE,"SHOP NO. A123, LEVEL 1, NEW TOWN PLAZA PHASE III, SHA TIN, NEW TERRITORIES",22.38035042822409,114.18727575031481
Restaurant licences,NIJUUICHI DON,"SHOP NOS. G114-G115, G/F, AMOY PLAZA OF AMOY GARDENS, PHASE 1, NO. 77 NGAU TAU KOK ROAD, KWUN TONG, KOWLOON",22.32479977261681,114.21589461044418
Restaurant licences,MAK'SNOODLE,"SHOP SPACE NO. G002, G012 & G013 ON GROUND FLOOR OF THE ARCADE, KAR SHING BUILDING, NOS 15 & 19 KAU YUK ROAD, YUEN LONG, NEW TERRITORIES",22.442835516308207,114.02733753885056
Restaurant licences,TAKGOR RESTAURANT,"SHOP NO.7, G/F, ASTER COURT, 8 HUNG TAI ROAD, HUNG SHUI KIU, YUEN LONG, NEW TERRITORIES",22.434482739280664,113.99627599551795
Restaurant licences,SAEMAEUL,"SHOP NO. 101, 1/F, MULTIFIELD PLAZA, 3-7A PRAT AVENUE, TSIM SHA TSUI, KOWLOON",22.298336373764457,114.17436167997516
Restaurant licences,MEH KEE HOTPOT,"FLAT 3-8 AND FLAT 10-12, 2/F., PROSPERITY BUILDING, NO. 61 TUNG CHOI STREET, MONG KOK, KOWLOON",22.31832260307775,114.17057843694673
Restaurant licences,MOMA,"G/F., FLOOR G, THE STAUNTON SUITES, NO. 22 STAUNTON STREET, CENTRAL, HONG KONG",22.281952,114.152666
Restaurant licences,BIG BIG MOUTH,"G/F, 182 PRATAS STREET, CHEUNG SHA WAN, KOWLOON",22.33618291233552,114.16055776221171
Restaurant licences,N+ BURGER,"SHOPS 2 & 3, G/F & COCKLOFT, GRAND FORTUNE MANSION, NO. 1 DAVIS STREET, KENNEDY TOWN, HONG KONG",22.283587841718173,114.12679316213367
Restaurant licences,HOLLYWOOD CHICKENS POT,"SHOP NO. 109, 1/F, SHUI CHUEN O PLAZA, SHUI CHUEN O ESTATE, SHA TIN, NEW TERRITORIES",22.374177334562393,114.19724382019001
Restaurant licences,NUTE,"SHOP NO. 203A, 1/F., THE REPULSE BAY, NO. 109 REPULSE BAY ROAD, REPULSE BAY, HONG KONG",22.239346809039258,114.19564295571715
Restaurant licences,J'S CUCINA,"SHOP 101, 1/F, 83 KING LAM STREET, CHEUNG SHA WAN, KOWLOON",22.339408342626022,114.14624221881796
Restaurant licences,Green Tea - APM,"SHOP NO. UC-1, UPPER CONCOURSE LEVEL, APM, MILLENNIUM CITY 5, NO. 418 KWUN TONG ROAD, KWUN TONG, KOWLOON",22.312359814599553,114.22520926963351
Restaurant licences,Tung Kee Won Ton & Beef Noodles Restaurant,"SHOP 80, G/F, FORTUNE PLAZA, 4 ON CHEE ROAD, TAI PO, NEW TERRITORIES",22.452432131461435,114.16803825585404
Restaurant licences,YAO LONG,"SHOP G & F, 1/F., MAXGRAND PLAZA, NO. 3 TAI YAU STREET, SAN PO KONG, KOWLOON",22.338232711796284,114.19911480542395
Restaurant licences,SATAY KING,"SHOP NOS. F173-181 & F183-187, 1/F, PHASE II, AMOY PLAZA, 77 NGAU TAU KOK ROAD, KOWLOON BAY, KWUN TONG, KOWLOON",22.32447022828493,114.21604477263212
Restaurant licences,"The Beat, Vantage","2/F-3/F, PAVILION STAND, HAPPY VALLEY RACECOURSE, HONG KONG",22.27337404267543,114.18001125096644
Restaurant licences,PAL,"SHOP NO. L2-57, LEVEL 2, V WALK, 28 SHAM MONG ROAD, SHAM SHUI PO, KOWLOON",22.326949702847855,114.15377975811116
Restaurant licences,CHO KUU,"SHOP 5, G/F, THE CONSONANCE, 23 JUPITER STREET, HONG KONG",22.286230727040977,114.19205395498201
Restaurant licences,MAN SHAN TAI PEI,"SHOP NOS. 187A AND 187B, LEVEL 1 , EAST POINT CITY, 8 CHUNG WA ROAD, TSEUNG KWAN O, SAI KUNG, NEW TERRITORIES",22.31667317449832,114.2656734002214
